route_long_name,Str. Unirii - VIVO! Cluj-Napoca
service_name,Sambata
service_start,09.01.2016
in_stop_name,Disp. Unirii
out_stop_name,VIVO! Cluj-Napoca
07:15,07:51
08:25,09:00
08:57,09:33
09:12,09:50
09:33,10:10
10:10,10:47
10:28,11:06
10:47,11:24
11:05,11:42
11:24,12:01
11:43,12:20
12:01,12:38
12:19,12:55
12:38,13:16
12:57,13:35
13:15,13:53
13:30,14:08
13:45,14:23
14:00,14:38
14:15,14:53
14:30,15:08
14:45,15:23
15:00,15:38
15:15,15:53
15:30,16:08
15:45,16:23
16:00,16:38
16:15,16:53
16:30,17:08
16:45,17:23
17:00,17:38
17:15,17:53
17:30,18:08
17:45,18:23
18:00,18:38
18:15,18:53
18:30,19:08
18:45,19:23
19:00,19:38
19:15,19:53
19:30,20:08
19:45,20:23
20:00,20:38
20:15,20:53
20:30,21:08
20:45,21:23
21:00,21:38
21:15,21:55
21:30,22:10
21:45,22:25
22:05,22:35
