route_long_name,Str. Bucium - Str. Unirii
service_name,Sambata
service_start,10.09.2016
in_stop_name,Disp. Clabucet
out_stop_name,Snagov Nord
05:25,05:30
05:37,05:42
05:49,05:54
06:01,06:06
06:13,06:18
06:25,06:30
06:37,06:42
06:49,06:54
07:01,07:06
07:13,07:18
07:25,07:30
07:37,07:42
07:49,07:54
08:00,08:06
08:10,08:18
08:20,08:30
08:30,08:41
08:40,08:52
08:50,09:02
09:00,09:12
09:10,09:22
09:20,09:32
09:30,09:42
09:40,09:52
09:50,10:02
10:00,10:12
10:10,10:22
10:20,10:32
10:30,10:42
10:40,10:52
10:50,11:02
11:00,11:12
11:10,11:22
11:20,11:32
11:30,11:42
11:40,11:52
11:50,12:02
12:00,12:12
12:10,12:22
12:20,12:32
12:30,12:42
12:40,12:52
12:50,13:02
13:00,13:12
13:10,13:22
13:20,13:32
13:30,13:42
13:40,13:52
13:50,14:02
14:00,14:12
14:10,14:22
14:20,14:32
14:30,14:42
14:40,14:52
14:50,15:02
15:00,15:12
15:10,15:22
15:20,15:32
15:30,15:42
15:40,15:52
15:50,16:02
16:00,16:12
16:10,16:22
16:20,16:32
16:30,16:42
16:40,16:52
16:50,17:02
17:00,17:12
17:10,17:22
17:20,17:32
17:30,17:42
17:40,17:52
17:50,18:02
18:00,18:12
18:10,18:22
18:20,18:32
18:30,18:42
18:40,18:52
18:50,19:02
19:00,19:12
19:10,19:22
19:20,19:32
19:30,19:42
19:40,19:52
19:50,20:02
20:00,20:12
20:11,20:22
20:22,20:32
20:33,20:42
20:44,20:53
20:56,21:04
21:06,21:15
21:18,21:26
21:30,21:37
21:45,21:48
22:00,22:00
22:15,22:14
22:30,22:28
