route_long_name,Str. Unirii - P-ta Garii
service_name,Luni-Vineri
service_start,08.01.2018
in_stop_name,Disp. Unirii
out_stop_name,P-ta Garii Sud
04:58,05:15
05:08,05:26
05:18,05:36
05:27,05:45
05:36,05:54
05:46,06:04
05:56,06:14
06:06,06:24
06:16,06:34
06:24,06:43
06:32,06:51
06:41,07:00
06:51,07:10
07:00,07:19
07:07,07:27
07:15,07:35
07:23,07:43
07:31,07:52
07:39,08:00
07:47,08:08
07:55,08:16
08:03,08:24
08:11,08:32
08:19,08:40
08:27,08:48
08:35,08:56
08:44,09:05
08:53,09:14
09:02,09:23
09:11,09:32
09:20,09:41
09:29,09:50
09:38,09:59
09:47,10:08
09:56,10:17
10:05,10:26
10:14,10:35
10:23,10:44
10:32,10:53
10:41,11:02
10:50,11:11
10:59,11:20
11:08,11:29
11:17,11:38
11:26,11:47
11:35,11:56
11:44,12:05
11:53,12:14
12:02,12:23
12:11,12:32
12:20,12:41
12:29,12:50
12:38,12:59
12:47,13:08
12:56,13:17
13:05,13:26
13:14,13:35
13:23,13:44
13:32,13:53
13:39,14:01
13:47,14:09
13:55,14:17
14:03,14:25
14:11,14:33
14:19,14:41
14:27,14:49
14:35,14:57
14:43,15:05
14:51,15:13
14:59,15:21
15:07,15:29
15:15,15:37
15:23,15:45
15:31,15:53
15:39,16:01
15:47,16:09
15:55,16:17
16:03,16:25
16:11,16:33
16:19,16:41
16:27,16:49
16:35,16:57
16:43,17:05
16:51,17:13
16:59,17:21
17:07,17:29
17:15,17:37
17:23,17:45
17:31,17:53
17:39,18:01
17:48,18:09
17:57,18:18
18:06,18:27
18:15,18:36
18:24,18:45
18:33,18:54
18:42,19:03
18:51,19:12
19:00,19:21
19:10,19:30
19:21,19:41
19:32,19:52
19:43,20:03
19:54,20:14
20:05,20:25
20:16,20:36
20:27,20:47
20:38,20:58
20:49,21:09
21:00,21:20
21:11,21:31
21:22,21:42
21:33,21:52
21:43,22:02
21:53,22:12
22:03,22:22
22:13,22:32
22:23,22:42
22:33,22:52
22:42,23:00
