route_long_name,Str. Unirii - P-ta Garii
service_name,Sambata
service_start,01.07.2017
in_stop_name,Disp. Unirii
out_stop_name,P-ta Garii Sud
05:25,05:40
05:34,05:49
05:43,05:58
05:53,06:08
06:03,06:19
06:13,06:30
06:23,06:41
06:33,06:52
06:44,07:03
06:55,07:14
07:06,07:25
07:17,07:36
07:28,07:47
07:39,07:58
07:50,08:09
08:01,08:20
08:12,08:31
08:23,08:42
08:34,08:53
08:45,09:04
08:56,09:15
09:07,09:26
09:18,09:37
09:29,09:48
09:40,09:59
09:51,10:10
10:02,10:21
10:13,10:32
10:24,10:43
10:35,10:54
10:46,11:06
10:57,11:17
11:08,11:28
11:20,11:40
11:31,11:51
11:43,12:03
11:54,12:14
12:06,12:26
12:17,12:37
12:29,12:49
12:40,13:00
12:52,13:12
13:03,13:23
13:15,13:35
13:26,13:46
13:38,13:58
13:49,14:09
14:01,14:21
14:12,14:32
14:24,14:44
14:35,14:55
14:47,15:07
14:58,15:18
15:10,15:30
15:21,15:41
15:33,15:53
15:44,16:04
15:56,16:16
16:07,16:27
16:19,16:39
16:30,16:50
16:42,17:02
16:53,17:13
17:05,17:25
17:16,17:36
17:28,17:48
17:39,17:59
17:51,18:11
18:02,18:22
18:14,18:34
18:25,18:45
18:37,18:56
18:48,19:07
18:59,19:18
19:10,19:29
19:21,19:40
19:32,19:51
19:43,20:02
19:54,20:13
20:05,20:24
20:16,20:35
20:27,20:46
20:38,20:57
20:49,21:08
21:00,21:19
21:11,21:30
21:22,21:41
21:33,21:52
21:44,22:03
21:54,22:13
22:04,22:23
22:14,22:33
22:24,22:43
