route_long_name,Str. Bucium - Str. Aurel Vlaicu
service_name,Sambata
service_start,24.09.2016
in_stop_name,Disp. Clabucet
out_stop_name,Disp. IRA
05:00,05:00
05:31,05:25
05:43,05:37
05:55,05:49
06:07,06:01
06:19,06:13
06:31,06:25
06:43,06:37
06:55,06:49
07:07,07:01
07:19,07:13
07:31,07:25
07:43,07:37
07:55,07:49
08:05,08:01
08:15,08:13
08:25,08:24
08:35,08:36
08:46,08:46
08:58,08:57
09:12,09:08
09:24,09:19
09:35,09:31
09:45,09:43
09:56,09:56
10:08,10:07
10:22,10:18
10:34,10:29
10:45,10:41
10:55,10:53
11:06,11:06
11:18,11:17
11:32,11:28
11:44,11:39
11:55,11:51
12:05,12:03
12:16,12:16
12:28,12:27
12:42,12:38
12:54,12:49
13:05,13:01
13:15,13:13
13:26,13:26
13:38,13:37
13:52,13:48
14:04,13:59
14:15,14:11
14:25,14:23
14:36,14:36
14:48,14:47
15:02,14:58
15:14,15:09
15:25,15:21
15:35,15:33
15:46,15:46
15:58,15:57
16:12,16:08
16:24,16:19
16:35,16:31
16:45,16:43
16:56,16:56
17:08,17:07
17:22,17:18
17:34,17:29
17:45,17:41
17:55,17:53
18:06,18:06
18:18,18:17
18:32,18:28
18:44,18:39
18:55,18:51
19:05,19:03
19:16,19:15
19:28,19:31
19:43,19:45
19:58,20:00
20:13,20:15
20:26,20:29
20:40,20:43
20:54,20:57
21:08,21:10
21:21,21:24
21:36,21:38
21:51,21:51
22:06,22:06
22:21,22:21
22:35,22:36
