Name,Lat,Lng
A. Vlaicu,46.780778,23.627825
Agronomia,46.762989,23.572718
Arte Plastice,46.779042,23.617294
Biserica Sf. Petru,46.775933,23.605266
Bistritei,46.769185,23.616453
Borsec Nord,46.768393,23.622240
Calea Floresti,46.757731,23.546229
Calea Manastur,46.760761,23.564437
Calea Motilor,46.766130,23.579601
Campus Universitar Est,46.774192,23.621929
Campus Universitar Vest,46.774109,23.621660
Ciobanului,46.757651,23.546802
Colegiul Pedagogic,46.770018,23.628156
Constanta,46.773347,23.597369
Crinului,46.778097,23.611562
Disp. Bucium,46.752741,23.543676
Disp. Clabucet,46.751411,23.542727
Disp. IRA,46.781939,23.636491
Disp. Unirii,46.768653,23.630204
Dorobantilor,46.777341,23.620186
EXPO Transilvania,46.781842,23.636348
Fabrica de Bere,46.763771,23.573324
Garbau,46.752367,23.546920
Gradini Manastur,46.760924,23.564085
Ion Mester,46.758052,23.556598
Iulius Mall Est,46.771304,23.626102
Iulius Mall Vest,46.771391,23.625256
Izlazului,46.755386,23.561822
Memorandumului Nord,46.769762,23.586966
Memorandumului Sud,46.769627,23.587107
Minerva,46.754342,23.553983
Mrs. Constantin Prezan,46.778402, 23.615789
Nodul N Nord,46.756620,23.540549
Peana,46.754533,23.554509
Piata Avram Iancu,46.771454,23.597239
Piata Cipariu Nord,46.768516,23.599307
Piata Flora,46.758614,23.550915
Piata Marasti,46.777594,23.611443
Pod Someseni,46.781479,23.635107
Primaverii,46.751694,23.545176
Regionala CFR,46.773231,23.597281
Septimiu Albini Nord,46.769282,23.608079
Siretului,46.780529,23.627087
Snagov Nord,46.767958,23.628381
Somes,46.776015,23.604637
Sora,46.771696,23.592011
Spitalul de Copii,46.766577,23.580160
Taberei,46.758803,23.551068
Valeriu Bologa,46.769844,23.628114
Victoria,46.771689,23.592685
VIVO! Cluj-Napoca,46.752934,23.533097
