route_long_name,Str. Bucium - B-dul Muncii
service_name,Luni-Vineri
service_start,27.12.2017
in_stop_name,Disp. Bucium
out_stop_name,Disp. Tram CUG
04:45,05:24
04:54,05:34
05:01,05:44
05:13,05:52
05:19,05:59
05:26,06:06
05:33,06:12 
05:41,06:26
05:50,06:32
06:00,06:40
06:18,07:00
06:26,07:08
06:33,07:16 
06:41,07:24
06:48,07:32
07:05,08:00
07:11,08:09
07:26,08:19
07:34,08:30
07:45,08:41
08:18,09:10
08:30,09:20
08:42,09:30
09:00,09:41
09:07,09:49
09:15,09:57
09:25,10:07
09:35,10:17
09:45,10:27
09:55,10:37
10:05,10:47
10:15,10:57
10:25,11:07
10:35,11:17
10:45,11:27
10:55,11:37
11:05,11:47
11:15,11:57
11:25,12:07
11:35,12:17
11:45,12:26
11:55,12:42
12:25,13:10
12:45,13:31
12:55,13:42
13:15,14:00
13:25,14:05
13:45,14:30
13:55,14:40
14:05,14:50
14:15,15:00
14:25,15:10
14:45,15:30
14:55,15:40
15:05,15:50
15:15,16:00
15:25,16:10
15:35,16:22
15:45,16:34
16:13,17:03
16:24,17:14
16:35,17:25
16:45,17:37
17:15,18:05
17:25,18:13
17:35,18:21
17:45,18:30
17:55,18:40
18:05,18:50
18:15,19:00
18:25,19:10
18:35,19:19
18:45,19:28
18:55,19:37
19:05,19:46
19:15,19:55
19:25,20:06
19:35,20:17
19:46,20:28
19:57,20:39
20:08,20:50
20:19,21:01
20:30,21:12
20:41,21:23
20:52,21:34
21:04,21:45
21:15,21:56
21:25,22:06
21:45,22:30
22:12,22:45
